route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3635,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,718dd6f2-ddc4-4d16-9e98-2855bdc24b9a,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,b4609787-f65b-4817-9137-1a745d07effb
3642,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,3de2a76f-9c76-4f96-8adb-a32c3377cfd4,f81eee6d-9e9f-4a85-8bb6-69212f04420a,Regional Transit Center,0,b00de676-3da5-4cc6-b31b-231243ded1bf
3635,934e9677-5487-4e7d-b5a7-bdeed05384fa,d103c726-95e7-4bb2-881a-33c6f91b7269,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,8e44641d-6502-46ba-b13c-8344b4804c87
3635,934e9677-5487-4e7d-b5a7-bdeed05384fa,2649a824-f4eb-4d3d-8ad7-dec40fd6bfe1,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,87728858-4972-4685-a00a-5cec607d6fa7
3635,934e9677-5487-4e7d-b5a7-bdeed05384fa,bf357369-72db-478e-8b7e-1fe1cef23def,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,49c658cf-24d4-4fb0-b721-2c3fa83b1a8e
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,599da05c-e86e-454e-bd6c-e9f87e2fb81f,cdb03de9-c80f-459b-9a37-f6f593cb83ed,Regional Transit Center,1,70b24928-80a6-4394-99cf-b671cef0bec1
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,5500b0c0-49b1-4450-bc6d-201658448549,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,a6291c94-3cf2-4ba7-8f45-ddf64e18a33f
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,defa45ea-3ecb-468d-8d43-f824521791da,cdb03de9-c80f-459b-9a37-f6f593cb83ed,Regional Transit Center,1,09045708-0a39-45b7-bd21-ec65f5f47211
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,8eba2d56-2041-4622-b58a-f53f7173f207,cdb03de9-c80f-459b-9a37-f6f593cb83ed,Regional Transit Center,1,d81c0b65-8e46-481b-9c9b-edac7a23f506
3629,934e9677-5487-4e7d-b5a7-bdeed05384fa,5bb21de5-f814-47b0-92d1-bbf3685b041a,e147fd6a-4bbc-40a7-8935-55cf83b10823,Regional Transit Center,1,ceddc79f-87b4-43c1-b00b-daf9d2dd0ab2
3633,0ebae99b-1ac5-466d-b0be-22f06dd11455,b2179069-6974-451e-8a8b-8f1235cce59c,5bf76334-d84b-4b1e-aebc-fe9cdc91a243,Chapel Hill and UNC Hospitals,0,c95da7f3-a520-4e0f-87e0-baef76015969
3631,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,d22333eb-e21b-48a5-8385-b89a82fd7b99,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,5f592dff-dee3-4b1b-a59e-97891b8b76d6
