shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.793749,-78.68516,232,5493.37
485daab2-892f-4bea-b175-06f42185b283,35.70216,-78.83403,77,4115.37
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.749919,-78.71009,336,10158.67
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795069,-78.705839,514,21915.21
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.793729,-78.68508,231,5485.82
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74994,-78.709679,335,10121.53
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.7938,-78.68534,233,5510.56
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.863579,-78.82373,48,1952.23
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.86248,-78.823014,52,2090.36
b54479c7-91b6-427b-88b2-be2bc5ce5a17,35.8244474186603,-78.3143642966248,195,6967.43
485daab2-892f-4bea-b175-06f42185b283,35.716859,-78.841559,126,5886.92
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.7543999407,-78.7343167838,387,12613.96
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79577,-78.69803,538,22645.89
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87381,-78.837469,1,60.44
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.748849,-78.717759,352,10861.42
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.79539,-78.693639,257,6282.25
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87342,-78.83515,12,364.17
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.794999,-78.704589,522,22045.37
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.7497,-78.711839,340,10318.29
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.749629,-78.7124,342,10369.5
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87279,-78.834869,14,438.66
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.791499,-78.7673,273,13781.09
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.79399,-78.686499,236,5617.16
485daab2-892f-4bea-b175-06f42185b283,35.703739,-78.83457,83,4297.65
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.87092,-78.834219,16,654.54
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.794029,-78.686799,238,5644.55
485daab2-892f-4bea-b175-06f42185b283,35.70494,-78.835129,89,4440.43
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74949,-78.71347,344,10467.23
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79513,-78.704009,524,22099.65
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.794119,-78.68738,240,5697.86
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74933,-78.714749,346,10583.97
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.794162,-78.687614,242,5719.49
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.870489,-78.83399,18,706.7
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.869879,-78.83354,20,785.94
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.79125,-78.76841,276,13884.9
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.791329,-78.76806,275,13852.15
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.869449,-78.832959,22,856.86
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.8693,-78.83268,24,886.96
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.8691,-78.832149,26,939.78
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79521,-78.70362,525,22135.82
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795519,-78.701799,529,22303.52
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.86869,-78.83025,29,1116.78
485daab2-892f-4bea-b175-06f42185b283,35.70506,-78.8352,90,4455.22
485daab2-892f-4bea-b175-06f42185b283,35.706009,-78.835709,94,4570.25
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.79578,-78.6998,533,22486.07
3b9e3c41-0625-42c5-a778-8350e5a21382,35.953389,-78.98941,381,12291.91
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.00689,-79.066349,366,12387.8
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.944589,-79.058019,586,23937.25
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.968079,-78.963869,273,11732.43
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967979,-78.964179,274,11762.44
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.96785,-78.964539,275,11797.85
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967709,-78.96488,276,11832.29
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967539,-78.965259,277,11871.26
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967259,-78.965899,278,11936.69
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967349,-78.96575,279,11953.41
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967259,-78.965899,280,11970.13
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.96722,-78.965999,281,11980.11
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.966709,-78.96723,282,12104.53
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.966459,-78.967779,283,12161.18
